feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LBP_glycan	LBP-W	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→3)-α-Araf; (1→5)-α-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1A1-1	galactan endo-1,3-β-galactosidase gene	galactan endo-1,3-β-galactosidase gene	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		High	Backbone | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1A1-1	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1A1-1	endo-β-1,4-glucanase/cellulase gene	endo-β-1,4-glucanase/cellulase gene	GH10,GH12,GH124,GH148,GH26,GH44,GH45,GH48,GH5,GH51,GH6,GH7,GH74,GH8,GH9	15		EC:3.2.1.4	GH10,GH12,GH124,GH148,GH26,GH44,GH45,GH48,GH5,GH51,GH6,GH7,GH74,GH8,GH9		High	Backbone | (1→4)-β-Glcp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1A1-1	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH30,GH35,GH39,GH42,GH5,GH50,GH54	14		EC:3.2.1.145,EC:3.2.1.164,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH30,GH35,GH39,GH42,GH5,GH50,GH54		High	Branch | (1→6)-β-Galp on C-3 or (1→3)-β-Galp on C-6	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1B-S-2	galactan endo-1,3-β-galactosidase gene	galactan endo-1,3-β-galactosidase gene	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		High	Backbone | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1B-S-2	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1B-S-2	endo-β-1,4-glucanase/cellulase gene	endo-β-1,4-glucanase/cellulase gene	GH10,GH12,GH124,GH148,GH26,GH44,GH45,GH48,GH5,GH51,GH6,GH7,GH74,GH8,GH9	15		EC:3.2.1.4	GH10,GH12,GH124,GH148,GH26,GH44,GH45,GH48,GH5,GH51,GH6,GH7,GH74,GH8,GH9		High	Branch | (1→4)-β-GlcpA	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1B-S-2	β-galactosidase gene	β-galactosidase gene	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54	13		EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54		High	Branch | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP1B-S-2	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→5)-α-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBLP5-A-OL1	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	galactan endo-1,3-β-galactosidase gene if β-Galp; otherwise unresolved	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		Low	Backbone | (1→3)-linked Galp	https://doi.org/10.3390/foods11203177
